epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,19.9654,2.24331,0.84677,0.98502,0.76351,0.0032967,0.0032967,0.0032967
2,37.0427,0.39609,0.98848,1,0.06407,0.00660816,0.00660816,0.00660816
3,53.3299,0.08919,0.98963,1,0.03199,0.00989761,0.00989761,0.00989761
4,69.3764,0.05112,0.99309,0.99885,0.0375,0.009901,0.009901,0.009901
5,85.5839,0.08672,0.89516,0.98387,0.32372,0.009868,0.009868,0.009868
6,102.02,0.08357,0.97235,1,0.07308,0.009835,0.009835,0.009835
7,119.149,0.05527,0.99654,1,0.00813,0.009802,0.009802,0.009802
8,136.219,0.04189,0.99654,1,0.0112,0.009769,0.009769,0.009769
9,152.995,0.03916,0.99539,1,0.01072,0.009736,0.009736,0.009736
10,169.155,0.02927,0.99424,1,0.01204,0.009703,0.009703,0.009703
11,185.461,0.03174,0.9977,1,0.00692,0.00967,0.00967,0.00967
12,202.126,0.02682,0.99539,1,0.02383,0.009637,0.009637,0.009637
13,219.295,0.02664,0.99654,1,0.0101,0.009604,0.009604,0.009604
14,235.304,0.01987,0.99654,1,0.01381,0.009571,0.009571,0.009571
15,251.271,0.02729,0.99194,0.99885,0.04291,0.009538,0.009538,0.009538
16,267.137,0.02464,0.99539,1,0.00694,0.009505,0.009505,0.009505
17,283.306,0.01187,0.9977,1,0.01297,0.009472,0.009472,0.009472
18,301.554,0.01377,0.9977,1,0.00893,0.009439,0.009439,0.009439
19,318.329,0.01892,0.99539,1,0.00958,0.009406,0.009406,0.009406
20,335.663,0.01273,0.9977,1,0.00983,0.009373,0.009373,0.009373
21,352.96,0.00665,0.99885,1,0.00474,0.00934,0.00934,0.00934
22,370.11,0.00442,0.99654,1,0.01533,0.009307,0.009307,0.009307
23,387.249,0.00837,0.99539,1,0.00832,0.009274,0.009274,0.009274
24,403.503,0.01249,0.99424,1,0.01315,0.009241,0.009241,0.009241
25,420.175,0.0047,0.9977,1,0.01723,0.009208,0.009208,0.009208
26,436.874,0.00727,0.99654,1,0.00749,0.009175,0.009175,0.009175
27,452.855,0.0045,0.9977,1,0.00348,0.009142,0.009142,0.009142
28,468.806,0.00717,0.99654,1,0.0063,0.009109,0.009109,0.009109
29,484.645,0.00601,0.9977,1,0.01042,0.009076,0.009076,0.009076
30,500.647,0.00585,0.99539,1,0.01314,0.009043,0.009043,0.009043
31,517.105,0.00815,0.9977,1,0.00618,0.00901,0.00901,0.00901
32,533.899,0.00941,0.9977,1,0.01261,0.008977,0.008977,0.008977
33,550.117,0.00904,0.99539,1,0.01342,0.008944,0.008944,0.008944
34,566.229,0.00312,0.9977,1,0.0132,0.008911,0.008911,0.008911
35,582.136,0.0034,0.9977,1,0.018,0.008878,0.008878,0.008878
36,597.982,0.00941,0.9977,1,0.01622,0.008845,0.008845,0.008845
37,613.784,0.00605,0.99654,1,0.00788,0.008812,0.008812,0.008812
38,629.71,0.00295,0.9977,1,0.01009,0.008779,0.008779,0.008779
39,645.571,0.00258,0.9977,1,0.01155,0.008746,0.008746,0.008746
40,662.57,0.00162,0.99654,1,0.01086,0.008713,0.008713,0.008713
41,679.062,0.00355,0.9977,1,0.01441,0.00868,0.00868,0.00868
42,694.943,0.00332,0.9977,1,0.01866,0.008647,0.008647,0.008647
43,710.83,0.00177,0.9977,1,0.01436,0.008614,0.008614,0.008614
44,726.742,0.00226,0.9977,1,0.01613,0.008581,0.008581,0.008581
45,742.704,0.00442,0.9977,1,0.01088,0.008548,0.008548,0.008548
46,758.684,0.00232,0.99654,1,0.01679,0.008515,0.008515,0.008515
47,774.475,0.00546,0.99654,1,0.01131,0.008482,0.008482,0.008482
48,790.44,0.00779,0.9977,1,0.00758,0.008449,0.008449,0.008449
49,806.243,0.00361,0.99654,1,0.01098,0.008416,0.008416,0.008416
50,822.115,0.00658,0.99539,1,0.01529,0.008383,0.008383,0.008383
51,838.045,0.00381,0.99539,1,0.01454,0.00835,0.00835,0.00835
52,853.939,0.00452,0.9977,1,0.01409,0.008317,0.008317,0.008317
53,869.831,0.00301,0.99654,1,0.01404,0.008284,0.008284,0.008284
54,885.795,0.0018,0.99539,1,0.01479,0.008251,0.008251,0.008251
55,901.791,0.004,0.9977,1,0.01348,0.008218,0.008218,0.008218
56,917.817,0.00264,0.9977,1,0.01248,0.008185,0.008185,0.008185
57,934.4,0.00517,0.9977,1,0.01789,0.008152,0.008152,0.008152
58,950.323,0.00484,0.99654,1,0.02162,0.008119,0.008119,0.008119
59,966.318,0.00582,0.99654,1,0.02146,0.008086,0.008086,0.008086
60,982.227,0.00216,0.9977,1,0.01853,0.008053,0.008053,0.008053
