epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.2457,1.10088,1.09925,1.32661,0.53539,0.77966,0.50998,0.33032,1.19291,1.67296,1.81759,0.000660819,0.000660819,0.000660819
2,52.5624,1.17066,0.84553,1.36872,0.00225,0.01271,0.00027,0.0001,4.09383,11.4758,8.16226,0.0013231,0.0013231,0.0013231
3,78.1527,1.15944,0.82878,1.33993,0.62518,0.66525,0.62764,0.39055,1.38838,6.07591,2.01896,0.00198099,0.00198099,0.00198099
4,103.698,1.15771,0.78629,1.34927,0.83435,0.72034,0.82799,0.52765,1.2869,3.2906,1.76776,0.0019802,0.0019802,0.0019802
5,129.025,1.1512,0.76384,1.3399,0.95038,0.92373,0.97312,0.66007,1.168,1.04875,1.69255,0.0019736,0.0019736,0.0019736
6,154.533,1.08298,0.69631,1.30522,0.96949,0.91949,0.98501,0.69727,1.04455,0.96668,1.49318,0.001967,0.001967,0.001967
7,179.793,1.09232,0.6973,1.29956,0.89469,0.75597,0.81789,0.54385,1.27397,0.99475,1.68822,0.0019604,0.0019604,0.0019604
8,205.292,1.03973,0.65696,1.27268,0.97423,0.96102,0.98681,0.70582,1.04477,0.64677,1.54999,0.0019538,0.0019538,0.0019538
9,230.603,1.02303,0.64418,1.25667,0.98495,0.96186,0.98857,0.74308,0.91434,0.59724,1.37486,0.0019472,0.0019472,0.0019472
10,256.037,0.97848,0.60436,1.22887,0.97165,0.96186,0.98754,0.69942,1.00699,0.61289,1.43152,0.0019406,0.0019406,0.0019406
11,281.123,0.9571,0.59464,1.21341,0.96575,0.95586,0.986,0.75208,0.94365,0.54265,1.37708,0.001934,0.001934,0.001934
12,306.558,0.98391,0.5851,1.22706,0.97839,0.95906,0.99194,0.7207,1.00883,0.59262,1.45777,0.0019274,0.0019274,0.0019274
13,331.708,0.91237,0.54046,1.18213,0.98215,0.93272,0.97573,0.69336,0.99888,0.55925,1.4203,0.0019208,0.0019208,0.0019208
14,356.784,0.93449,0.53751,1.18884,0.99536,0.9661,0.99382,0.75904,0.89165,0.45933,1.33982,0.0019142,0.0019142,0.0019142
15,382.91,0.94854,0.55289,1.17986,0.9864,0.96186,0.98772,0.75079,0.82982,0.55885,1.27203,0.0019076,0.0019076,0.0019076
16,407.923,0.92228,0.53067,1.18348,0.96278,0.97034,0.98895,0.75655,0.88401,0.5162,1.34393,0.001901,0.001901,0.001901
17,433.217,0.92744,0.55568,1.19027,0.98121,0.9661,0.99206,0.7464,0.95654,0.51538,1.39279,0.0018944,0.0018944,0.0018944
18,458.513,0.91481,0.52429,1.18348,0.9696,0.97458,0.99089,0.73587,0.90063,0.5564,1.34251,0.0018878,0.0018878,0.0018878
19,483.735,0.87652,0.50557,1.15294,0.98294,0.97458,0.98914,0.75583,0.90198,0.45994,1.32599,0.0018812,0.0018812,0.0018812
20,509.09,0.89785,0.50988,1.16144,0.99974,0.97034,0.99252,0.75264,0.90232,0.45938,1.32771,0.0018746,0.0018746,0.0018746
21,534.532,0.89987,0.50632,1.16773,0.9826,0.95703,0.98262,0.76058,0.82452,0.61607,1.2552,0.001868,0.001868,0.001868
22,559.649,0.88657,0.49843,1.18278,0.98138,0.96186,0.99235,0.72768,0.98964,0.46478,1.40418,0.0018614,0.0018614,0.0018614
